"Name","Version","License","URL","Description"
"altgraph","0.17.3","MIT License","https://altgraph.readthedocs.io","Python graph (network) package"
"certifi","2022.9.24","Mozilla Public License 2.0 (MPL 2.0)","https://github.com/certifi/python-certifi","Python package for providing Mozilla's CA Bundle."
"chardet","4.0.0","GNU Library or Lesser General Public License (LGPL)","https://github.com/chardet/chardet","Universal encoding detector for Python 2 and 3"
"colorama","0.4.5","BSD License","https://github.com/tartley/colorama","Cross-platform colored terminal text."
"future","0.18.2","MIT License","https://python-future.org","Clean single-source support for Python 3 and 2"
"idna","2.10","BSD License","https://github.com/kjd/idna","Internationalized Domain Names in Applications (IDNA)"
"importlib-metadata","4.12.0","Apache Software License","https://github.com/python/importlib_metadata","Read metadata from Python packages"
"numpy","1.21.6","BSD License","https://www.numpy.org","NumPy is the fundamental package for array computing with Python."
"pandas","1.2.3","BSD","https://pandas.pydata.org","Powerful data structures for data analysis, time series, and statistics"
"pefile","2022.5.30","MIT","https://github.com/erocarrera/pefile","Python PE parsing module"
"pyinstaller","5.4.1","GNU General Public License v2 (GPLv2)","https://www.pyinstaller.org/","PyInstaller bundles a Python application and all its dependencies into a single package."
"pyinstaller-hooks-contrib","2022.10","UNKNOWN","https://github.com/pyinstaller/pyinstaller-hooks-contrib","Community maintained hooks for PyInstaller"
"python-dateutil","2.8.2","Apache Software License; BSD License","https://github.com/dateutil/dateutil","Extensions to the standard Python datetime module"
"pytz","2022.2.1","MIT License","http://pythonhosted.org/pytz","World timezone definitions, modern and historical"
"pywin32-ctypes","0.2.0","BSD","https://github.com/enthought/pywin32-ctypes","UNKNOWN"
"requests","2.25.1","Apache Software License","https://requests.readthedocs.io","Python HTTP for Humans."
"six","1.16.0","MIT License","https://github.com/benjaminp/six","Python 2 and 3 compatibility utilities"
"tqdm","4.63.0","MIT License; Mozilla Public License 2.0 (MPL 2.0)","https://tqdm.github.io","Fast, Extensible Progress Meter"
"typing-extensions","4.3.0","Python Software Foundation License","UNKNOWN","Backported and Experimental Type Hints for Python 3.7+"
"urllib3","1.26.12","MIT License","https://urllib3.readthedocs.io/","HTTP library with thread-safe connection pooling, file post, and more."
"zipp","3.8.1","MIT License","https://github.com/jaraco/zipp","Backport of pathlib-compatible object wrapper for zip files"
